AccountId,AccountName,Segment,Industry,EmployeeBand,AcquisitionChannel,CountryCode,CountryName,Region,Market,SalesRegion,LocalCurrency,AccountStatus,IsActiveAccount,HasTrial,CreatedAt,CreatedDate,TrialStartDate,TrialEndDate,AccountAgeDays,AccountAgeBucket,TrialLengthDays
account_1,Euro Pulse Consulting AS,SMB,SaaS,20-49,PAID_SEARCH,UK,United Kingdom,UKI,UK,UK & Ireland,GBP,active,true,true,2026-02-08 20:28:06,2026-02-08,2026-02-08,2026-02-22,153,90-179 days,14
account_10,Green Flow Systems,MID-MARKET,Technology Services,200-300,PARTNER,DK,Denmark,Nordics,Nordic,North Europe,DKK,active,true,true,2026-01-31 06:08:44,2026-01-31,2026-01-31,2026-02-14,161,90-179 days,14
account_100,Green Craft Partners,SMB,,20-49,PARTNER,SE,Sweden,Nordics,Nordic,North Europe,SEK,active,true,true,2029-10-06 05:23:18,2029-10-06,2029-10-06,2029-10-20,0,future,14
account_101,Cobalt Wave Networks AS,SMB,,50-99,SALES-LED,FR,France,Southern Europe,Southern Europe,South Europe,EUR,churned,false,true,2026-08-02 18:05:04,2026-08-02,2026-08-02,2026-08-16,0,future,14
account_102,Vertex Pulse Industries SAS,SMB,SaaS,20-49,SALES-LED,NL,Netherlands,Benelux,Central Europe,Central Europe,EUR,ACTIVE,false,true,2027-10-20 12:04:52,2027-10-20,2027-10-20,2027-11-03,0,future,14
account_103,Bright Peak Partners,SMB,Wholesale,50-99,PRODUCT-LED,DK,Denmark,Nordics,Nordic,North Europe,DKK,active,true,true,2026-01-03 10:19:21,2026-01-03,2026-01-03,2026-01-17,189,180+ days,14
account_104,Euro Peak Systems,SMB,SaaS,20-49,PARTNER,FR,France,Southern Europe,Southern Europe,South Europe,EUR,churned,false,true,2026-03-09 15:04:51,2026-03-09,2026-03-09,2026-03-23,124,90-179 days,14
account_105,Cobalt Works Solutions SAS,MID-MARKET,Wholesale,100-199,CONTENT,NO,Norway,Nordics,Nordic,North Europe,NOK,active,true,true,2028-04-28 04:52:04,2028-04-28,2028-04-28,2028-05-12,0,future,14
account_106,Nordic Signal Services,MID-MARKET,Manufacturing,100-199,PARTNER,NO,Norway,Nordics,Nordic,North Europe,NOK,active,true,true,2029-12-20 22:35:32,2029-12-20,2029-12-20,2030-01-03,0,future,14
account_107,Cobalt Wave Logistics,MID-MARKET,Logistics,200-300,SALES-LED,DK,Denmark,Nordics,Nordic,North Europe,DKK,active,true,true,2029-10-13 18:27:39,2029-10-13,2029-10-13,2029-10-27,0,future,14
account_108,Cobalt Pulse Consulting GmbH,SMB,Logistics,20-49,PARTNER,NL,Netherlands,Benelux,Central Europe,Central Europe,EUR,active,true,true,2028-04-27 08:45:34,2028-04-27,2028-04-27,2028-05-11,0,future,14
account_109,Apex Track Solutions,SMB,Wholesale,20-49,CONTENT,DE,Germany,DACH,Central Europe,Central Europe,EUR,churned,false,false,2028-09-20 09:08:37,2028-09-20,,,0,future,
account_11,Bright Pulse Consulting,MID-MARKET,Professional Services,200-300,PARTNER,FR,France,Southern Europe,Southern Europe,South Europe,EUR,active,true,true,2029-04-04 16:22:37,2029-04-04,2029-04-04,2029-04-18,0,future,14
account_110,Blue Wave Logistics,MID-MARKET,SaaS,200-300,PAID_SEARCH,NO,Norway,Nordics,Nordic,North Europe,NOK,active,true,true,2029-04-24 09:09:24,2029-04-24,2029-04-24,2029-05-08,0,future,14
account_111,Bright Bridge Services,SMB,B2B Agency,20-49,CONTENT,UK,United Kingdom,UKI,UK,UK & Ireland,GBP,active,true,false,2027-01-23 18:11:48,2027-01-23,,,0,future,
